Species,Genus,Family,Marine,Brackish,Freshwater,EggColour,EggColourCategory,Pigment,AdultColour,Development,DevelopmentScore,DevelopmentScore2,Match,MinDepth,MaxDepth,AverageDepth,MeanSurfaceTemp,MeanSurfaceOxygen,MeanSurfaceChlorophyll,Longitude,Latitude ,PositiveLatitude,PostCare,PC1,PC2,,Oxygen,PC1,PC2
Hirundichthys_speculiger,Hirundichthys,Exocoetidae,M,NA,NA,yellow,Yellow-Orange-Amber,Carotenoid,Blue*-Grey,NA,NA,NA,No,NA,NA,NA,26.01826153,208.7511668,0.110738982,-136.7672045,0.100626121,0.100626121,0,23.48678104,0.198939307,,208.7511668,23.48678104,0.198939307
Hyporhamphus_unifasciatus,Hyporhamphus,Hemiramphidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,Pelagic,2,2,No,0,5,2.5,26.70421717,207.2959042,0.194420272,-68.06521666,10.29601111,10.29601111,0,25.04422439,0.602293451,,207.2959042,25.04422439,0.602293451
Oxymonacanthus_longirostris,Oxymonacanthus,Monacanthidae,M,NA,NA,transparent,Transparent,None,Blue-Yellow,NA,NA,NA,No,1,35,18,28.1267529,201.8730601,0.126944955,131.1915635,-1.704100159,1.704100159,0,30.63701827,0.991526958,,308.056372,-77.52416652,0.501956664
Psenes_sio,Psenes,Nomeidae,M,NA,NA,Chorion pinkish straw color;,Pink,Carotenoid,Blue-Grey*,NA,NA,NA,No,NA,NA,NA,25.25231282,210.1159089,0.521708276,-88.41445505,6.236860447,6.236860447,0,22.00340277,-0.299846565,,201.8730601,30.63701827,0.991526958
Hypomesus_pretiosus,Hypomesus,Osmeridae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,Demersal,1,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,210.1159089,22.00340277,-0.299846565
Citharichthys_arctifrons,Citharichthys,Paralichthyidae,M,NA,NA,transparent ,Transparent,None,Brown,Pelagic,2,2,No,46,366,206,21.1291912,228.9726148,0.4415895,-76.16667296,34.78201881,34.78201881,0,2.708867167,-0.844259193,,228.9726148,2.708867167,-0.844259193
Perca_fluviatilis,Perca,Percidae,NA,B,F,white,White,Guanine,Green-Red,Demersal,1,0,No,1,30,15.5,13.00615077,268.366711,0.405478097,NA,NA,NA,0,-37.50865756,-1.499473874,,268.366711,-37.50865756,-1.499473874
Lepidopsetta_bilineata,Lepidopsetta,Pleuronectidae,M,NA,NA,bright yellow or orange,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,0,575,287.5,NA,NA,NA,NA,NA,NA,0,NA,NA,,230.279976,1.403084767,-0.71328307
Cynoscion_nothus,Cynoscion,Sciaenidae,M,B,NA,transparent,Transparent,None,Black-Grey-White,NA,NA,NA,No,2,18,10,24.16147575,216.430304,0.305064044,-92.24406177,25.99391854,25.99391854,0,15.59629666,-0.197365961,,216.430304,15.59629666,-0.197365961
Larimus_fasciatus,Larimus,Sciaenidae,M,B,NA,transparent,Transparent,None,Grey,NA,NA,NA,No,NA,NA,NA,23.04594598,220.6087729,0.332615579,-84.53909402,30.15694237,30.15694237,0,11.28326429,-0.516365638,,220.6087729,11.28326429,-0.516365638
Menticirrhus_saxatilis,Menticirrhus,Sciaenidae,M,B,NA,"almost colourless, faint yellowish tint",Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,NA,NA,NA,23.54392804,218.6319663,0.303129671,-84.47144256,29.51297396,29.51297396,0,13.31819607,-0.394697523,,218.6319663,13.31819607,-0.394697523
Pareques_iwamotoi,Pareques,Sciaenidae,M,NA,NA,transparent,Transparent,None,Grey,Pelagic,2,2,No,37,184,110.5,26.31079381,208.0055108,0.177692798,-87.71879043,26.39255699,26.39255699,0,24.27383162,0.347698786,,208.0055108,24.27383162,0.347698786
Auxis_thazard,Auxis,Scombridae,M,NA,NA,transparent,Transparent,None,Grey,NA,NA,NA,No,NA,NA,NA,24.80243648,214.8771681,0.251230795,121.6014758,-2.745139841,2.745139841,0,17.24153825,0.143576687,,214.8771681,17.24153825,0.143576687
Hippocampus_capensis,Hippocampus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,Benthic,0,1,No,0,20,10,18.57356944,234.5595099,0.754268826,22.5,-34.50149948,34.50149948,2,-3.255835988,-2.316303934,,201.6952553,30.83973615,1.106474228
Syngnathus_abaster,Syngnathus,Syngnathidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black,NA,NA,NA,No,0,5,2.5,19.03063248,238.8845004,0.201170099,26.51216242,42.86698159,42.86698159,2,-7.420378761,-1.062895405,,234.5595099,-3.255835988,-2.316303934
Syngnathus_fuscus,Syngnathus,Syngnathidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,NA,NA,NA,No,5,366,185.5,NA,NA,NA,NA,NA,NA,2,NA,NA,,216.2202247,15.77178676,-0.399820889
Zu_cristatus,Zu,Trachipteridae,M,NA,NA,"amber, red",Variety,Carotenoid,Grey,Pelagic,2,2,No,NA,NA,NA,22.19688756,225.1361424,0.19305362,19.68717222,-6.770977618,6.770977618,0,6.676973442,-0.508657381,,215.2923426,16.95617295,0.868356131
Lycodapus_mandibularis,Lycodapus,Zoarcidae,M,NA,NA,transparent,Transparent,None,Brown,NA,NA,NA,No,100,1370,735,NA,NA,NA,NA,NA,NA,1,NA,NA,,201.6010394,30.92296559,1.039590565
Oryzias_latipes,Oryzias,Adrianichthyidae,NA,B,F,transparent,Transparent,None,Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,238.8845004,-7.420378761,-1.062895405
Brycinus_longipinnis,Brycinus,Alestidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Green*,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,211.9680925,20.23846449,0.334846695
Oreochromis_aureus,Oreochromis,Cichlidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,225.1361424,6.676973442,-0.508657381
Pelmatolapia_mariae,Pelmatolapia,Cichlidae,NA,B,F,olive-green,Green,Green,Black-Yellow,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,218.0078775,14.12985887,0.537790605
Coptodon_rendalli,Coptodon,Cichlidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,245.4895757,-14.20194806,-1.375807625
Nematalosa_erebi,Nematalosa,Clupeidae,NA,B,F,transparent,Transparent,None,Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,237.6759409,-6.245609539,-1.354789934
Alosa_pseudoharengus,Alosa,Clupeidae,M,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,208.6977221,23.76840454,1.399487323
Cottus_asper,Cottus,Cottidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,248.8739443,-17.54415988,-0.835611567
Cottus_aleuticus,Cottus,Cottidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,229.9589614,1.8046878,-0.317613835
Cottus_cognatus,Cottus,Cottidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,202.3462473,30.16507695,1.042495929
Squalius_cephalus,Squalius,Cyprinidae,NA,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Brown-Green,Demersal,1,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,208.449063,23.88640818,0.68585646
Cyprinus_carpio,Cyprinus,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,245.3473708,-14.13816544,-1.803483676
Alburnus_alburnus,Alburnus,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,261.3310602,-30.28219649,-1.151312375
Gobio_gobio,Gobio,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,256.4398642,-25.33517896,-1.315194444
Hypseleotris_compressa,Hypseleotris,Eleotridae,NA,B,F,transparent,Transparent,None,Black-Blue-Orange,Pelagic,2,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,242.3775591,-11.10889267,-1.767904548
Culaea_inconstans,Culaea,Gasterosteidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,221.9919364,9.87467449,-0.520957931
Macrognathus_aral,Macrognathus,Mastacembelidae,NA,B,F,green,Green,Green,Grey,Demersal,1,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,213.7500091,18.36848228,0.036709783
Nandus_nandus,Nandus,Nandidae,NA,B,F,translucent,Transparent,None,Brown-Green,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,214.2390556,17.79697272,-0.353101952
Thaleichthys_pacificus,Thaleichthys,Osmeridae,M,B,F,transparent,Transparent,None,Brown-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,253.3537033,-22.20535471,-1.373994987
Osmerus_eperlanus,Osmerus,Osmeridae,M,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Grey,Demersal,1,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,241.969285,-10.66353681,-1.61028397
Macquaria_novemaculeata,Macquaria,Percichthyidae,NA,B,F,transparent,Transparent,None,Brown-Green,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,203.4238433,29.02977322,0.838684521
Macquaria_colonorum,Macquaria,Percichthyidae,NA,B,F,transparent,Transparent,None,Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,280.8635083,-49.90951314,0.179664916
Nannoperca_vittata,Nannoperca,Percichthyidae,NA,B,F,transparent,Transparent,None,Brown-Orange,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,245.0589699,-13.77871429,-1.455149279
Etheostoma_olmstedi,Etheostoma,Percidae,NA,B,F,transparent,Transparent,None,Brown,Demersal,1,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,235.3552204,-3.801559826,-0.920882634
Sander_lucioperca,Sander,Percidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,242.6523492,-11.17410085,-0.634821937
Polycentrus_schomburgkii,Polycentrus,Polycentridae,NA,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Black-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,222.9953113,8.762736607,-1.000420488
Oncorhynchus_kisutch,Oncorhynchus,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Blue-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,207.3104351,25.04606497,0.690153655
Oncorhynchus_tshawytscha,Oncorhynchus,Salmonidae,M,B,F,orange-red,Yellow-Orange-Amber,Carotenoid,Brown*,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,252.3158107,-21.22976854,-1.800542853
Oncorhynchus_mykiss,Oncorhynchus,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Silver,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,200.0912771,32.52459608,1.383346988
Monopterus_albus,Monopterus,Synbranchidae,NA,B,F,orange,Yellow-Orange-Amber,Carotenoid,Brown,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,208.0992617,24.14965393,0.195735798
Microphis_cuncalus,Microphis,Syngnathidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Green-Tan,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,220.3771454,11.28956046,-1.728610012
Hippichthys_parvicarinatus,Hippichthys,Syngnathidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,227.6227981,3.872191982,-1.956188729
Leiopotherapon_unicolor,Leiopotherapon,Terapontidae,M,B,F,transparent,Transparent,None,Brown-Grey,Demersal,1,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,301.0308905,-69.97069328,2.632538804
Atherina_presbyter,Atherina,Atherinidae,M,B,NA,transparent,Transparent,None,Blue-Grey-Yellow,NA,NA,NA,No,NA,NA,NA,17.46201,245.4895757,0.36261034,-2.64665907,43.0470189,43.0470189,0,-14.20194806,-1.375807625,,214.3827929,17.87175615,0.814914873
Callionymus_sagitta,Callionymus,Callionymidae,M,B,NA,transparent,Transparent,None,Brown,NA,NA,NA,No,NA,NA,NA,27.25024002,208.6977221,0.244926511,108.8788197,10.27347984,10.27347984,0,23.76840454,1.399487323,,262.4040998,-31.1783482,-0.116087186
Alosa_mediocris,Alosa,Clupeidae,M,B,F,transparent,Transparent,None,Green-Grey,NA,NA,NA,No,NA,NA,NA,17.37123121,248.8739443,0.755894794,-76.71689934,37.16343692,37.16343692,0,-17.54415988,-0.835611567,,205.1346571,27.21784865,0.464955075
Phoxinus_phoxinus,Phoxinus,Cyprinidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black*-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,202.6153346,29.83906455,0.766978752
Cyprinodon_variegatus,Cyprinodon,Cyprinodontidae,M,B,F,transparent,Transparent,None,Blue-Brown-Grey-Yellow,NA,NA,NA,No,NA,NA,NA,21.47849915,229.9589614,0.483352523,-82.38822624,31.00119777,31.00119777,0,1.8046878,-0.317613835,,202.3206953,30.11186864,0.623976379
Encrasicholina_punctifer,Encrasicholina,Engraulidae,M,NA,NA,transparent,Transparent,None,Green-Grey,NA,NA,NA,No,5,35,20,28.08906578,202.3462473,0.155316336,127.4714067,1.763170338,1.763170338,0,30.16507695,1.042495929,,207.5446599,24.80551636,0.678713425
Lycengraulis_grossidens,Lycengraulis,Engraulidae,M,B,F,Transparent,Transparent,None,Grey-Yellow,NA,NA,NA,No,NA,NA,NA,26.5710033,208.449063,0.297721951,-55.38711643,-3.723575931,3.723575931,0,23.88640818,0.68585646,,220.9816274,10.95286299,-0.257093195
Esox_lucius,Esox,Esocidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown*,Demersal,1,0,No,0,30,15,NA,NA,NA,NA,NA,NA,0,NA,NA,,215.2878774,16.84896471,0.277921148
Fundulus_majalis,Fundulus,Fundulidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Brown*,Demersal,1,0,No,0,1,0.5,17.05365624,245.3473708,0.634860565,-73.59647829,38.21803203,38.21803203,0,-14.13816544,-1.803483676,,214.5415789,17.5429053,-0.068712175
Fundulus_xenicus,Fundulus,Fundulidae,M,B,F,transparent,Transparent,None,Green-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,212.6693791,19.48300091,0.114390611
Galaxias_fasciatus,Galaxias,Galaxiidae,M,B,F,transparent,Transparent,None,Brown-Yellow,NA,NA,NA,No,NA,NA,NA,14.69214417,261.3310602,1.061957387,172.578251,-41.70681753,41.70681753,0,-30.28219649,-1.151312375,,252.9060308,-21.72417616,-1.238962069
Galaxias_postvectis,Galaxias,Galaxiidae,M,B,F,transparent,Transparent,None,Brown,NA,NA,NA,No,NA,NA,NA,15.45111813,256.4398642,1.013487442,174.1107428,-39.64355815,39.64355815,0,-25.33517896,-1.315194444,,217.5572548,14.44846465,-0.201978267
Apeltes_quadracus,Apeltes,Gasterosteidae,M,B,F,yellow to dark amber,Yellow-Orange-Amber,Carotenoid,Brown*,NA,NA,NA,No,0,3,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,,256.8094447,-25.63411753,-0.907296588
Trachelochismus_melobesia,Trachelochismus,Gobiesocidae,M,NA,NA,red/pink,Variety,Carotenoid,Black-White,NA,NA,NA,No,0,36,18,NA,NA,NA,NA,NA,NA,0,NA,NA,,279.6081524,-48.5224559,0.757740176
Lepidogobius_lepidus,Lepidogobius,Gobiidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,0,201,100.5,NA,NA,NA,NA,NA,NA,1,NA,NA,,229.7734726,1.96787654,-0.452833558
Neogobius_melanostomus,Neogobius,Gobiidae,M,B,F,pale yellow to orange,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,0,30,15,NA,NA,NA,NA,NA,NA,1,NA,NA,,238.5546653,-6.967909546,-0.445909143
Tridentiger_trigonocephalus,Tridentiger,Gobiidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-White,Demersal,1,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,288.9537109,-58.19601901,-0.098598039
Icosteus_aenigmaticus,Icosteus,Icosteidae,M,NA,NA,"yellow; orange; amber; opaque 
becoming clear",Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,0,1420,710,NA,NA,NA,NA,NA,NA,0,NA,NA,,258.2199701,-27.16329458,-1.401869607
Lepisosteus_osseus,Lepisosteus,Lepisosteidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,241.2359137,-9.969786283,-1.888409201
Chelon_labrosus,Chelon,Mugilidae,M,B,F,transparent,Transparent,None,Grey,NA,NA,NA,No,NA,NA,NA,15.97539696,253.3537033,0.389123765,8.883355236,46.98055297,46.98055297,0,-22.20535471,-1.373994987,,206.5522381,25.78198454,0.501331631
Patagonotothen_ramsayi,Patagonotothen,Nototheniidae,M,NA,NA,light-yellow to light-orange,Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,50,500,275,NA,NA,NA,NA,NA,NA,0,NA,NA,,285.5054372,-54.73143885,-0.335903485
Ostracion_meleagris,Ostracion,Ostraciidae,M,NA,NA,colourless,Transparent,None,Black-Blue-White-Yellow,NA,NA,NA,No,1,30,15.5,NA,NA,NA,NA,NA,NA,0,NA,NA,,217.8766753,14.18120086,0.103549464
Paralichthys_dentatus,Paralichthys,Paralichthyidae,M,B,F,transparent ,Transparent,None,Brown,NA,NA,NA,No,10,183,96.5,17.88966257,241.969285,0.672340263,-75.20241591,37.3198913,37.3198913,0,-10.66353681,-1.61028397,,301.1148323,-70.53435753,0.105844213
Paralichthys_olivaceus,Paralichthys,Paralichthyidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,NA,NA,NA,No,10,200,105,NA,NA,NA,NA,NA,NA,0,NA,NA,,204.6624691,27.70144736,0.480949761
Eurypegasus_draconis,Eurypegasus,Pegasidae,M,B,NA,transparent,Transparent,None,Blue-Brown,NA,NA,NA,No,3,91,47,27.67767727,203.4238433,0.175485837,127.5601654,4.887254252,4.887254252,0,29.02977322,0.838684521,,272.7876145,-41.86949566,-0.767429045
Psettichthys_melanostictus,Psettichthys,Pleuronectidae,M,NA,NA,clear yolk,Transparent,None,Brown,NA,NA,NA,No,1,325,163,NA,NA,NA,NA,NA,NA,0,NA,NA,,359.1745578,-128.8854414,4.012668075
Stokellia_anisodon,Stokellia,Retropinnidae,M,B,F,colourless,Transparent,None,Grey,NA,NA,NA,No,NA,NA,NA,12.34980975,280.8635083,1.548376639,171.7108131,-44.08097072,44.08097072,0,-49.90951314,0.179664916,,273.233653,-42.32319198,-0.76604854
Coregonus_albula,Coregonus,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,323.2612404,-92.88622909,1.097701481
Coregonus_nasus,Coregonus,Salmonidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,243.0034743,-11.64352715,-1.226918561
Coregonus_sardinella,Coregonus,Salmonidae,M,B,F,yellow,Yellow-Orange-Amber,Carotenoid,Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,302.7258501,-72.14536688,0.257007465
Prosopium_cylindraceum,Prosopium,Salmonidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Grey,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,208.1786685,24.07890463,0.248925503
Salmo_salar,Salmo,Salmonidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Blue-Grey,NA,NA,NA,No,0,210,105,NA,NA,NA,NA,NA,NA,0,NA,NA,,225.9461599,5.796831855,-0.80316918
Cheilotrema_saturnum,Cheilotrema,Sciaenidae,M,NA,NA,transparent,Transparent,None,Grey,Pelagic,2,2,No,NA,NA,NA,17.46276124,245.0589699,0.650668247,-118.027737,32.27990072,32.27990072,0,-13.77871429,-1.455149279,,310.9334767,-80.2001392,1.834500483
Cynoscion_regalis,Cynoscion,Sciaenidae,M,B,NA,transparent,Transparent,None,Green-Grey,NA,NA,NA,No,10,26,18,NA,NA,NA,NA,NA,NA,0,NA,NA,,210.1805604,22.05661243,0.328926366
Scomber_japonicus,Scomber,Scombridae,M,NA,NA,transparent,Transparent,None,Brown-Grey,Pelagic,2,2,No,0,0,0,19.84315989,235.3552204,0.494929166,130.4050748,29.34375275,29.34375275,0,-3.801559826,-0.920882634,,253.5475619,-22.2740149,-0.694336411
Centropristis_striata,Centropristis,Serranidae,M,NA,NA,transparent yolk,Transparent,None,Black,NA,NA,NA,No,NA,NA,NA,18.75315844,242.6523492,0.464172856,-75.41369475,36.05238121,36.05238121,0,-11.17410085,-0.634821937,,211.277093,20.89927823,0.110545062
Filicampus_tigris,Filicampus,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,NA,NA,NA,No,2,27,14.5,22.10159257,222.9953113,0.27702622,146.0002399,-30.17858662,30.17858662,2,8.762736607,-1.000420488,,209.4356679,22.81677467,0.339729268
Hippichthys_penicillus,Hippichthys,Syngnathidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,NA,NA,NA,No,NA,NA,NA,26.79088698,207.3104351,0.256405149,138.1370737,-18.09035017,18.09035017,2,25.04606497,0.690153655,,202.064288,30.37676009,0.644749752
Syngnathus_phlegon,Syngnathus,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Blue-White,NA,NA,NA,No,NA,NA,NA,20.25300241,227.6227981,0.111299406,15.80612061,37.51664579,37.51664579,2,3.872191982,-1.956188729,,254.0390969,-22.97805524,-1.770980864
Syngnathus_rostellatus,Syngnathus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,Benthic,0,1,No,0,15,7.5,11.02911528,301.0308905,0.492374864,8.125374741,56.10733433,56.10733433,2,-69.97069328,2.632538804,,288.2791428,-57.45119429,0.209319576
